GeoFIPS,GeoName,Region,TableName,LineCode,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""01055"" ","Etowah, AL",5,CAGDP2,1,All industry total,Thousands of dollars,2049415,2141233,2192448,2358919,2419070,2496403,2545538,2604695,2592252,2679669,2748762,2801621,2817909,2835881,2931523,2986341,3028343,3153479
" ""01057"" ","Fayette, AL",5,CAGDP2,1,All industry total,Thousands of dollars,301471,290554,302388,326646,340037,351822,345406,440455,429300,496287,472079,456379,419113,343500,347163,343141,351208,364749
" ""01059"" ","Franklin, AL",5,CAGDP2,1,All industry total,Thousands of dollars,596097,596358,631435,720934,749633,738236,770973,779338,765704,803445,899784,846161,872055,837426,869884,845435,915735,985758
" ""01061"" ","Geneva, AL",5,CAGDP2,1,All industry total,Thousands of dollars,355287,366455,380104,395404,415596,435173,474763,487828,473484,482710,460412,474268,498385,496486,525725,533310,526443,560428
" ""01063"" ","Greene, AL",5,CAGDP2,1,All industry total,Thousands of dollars,207595,228267,247530,287084,307638,324576,326021,285878,277976,282363,331340,292866,304242,287609,261527,243347,233558,256197
" ""01065"" ","Hale, AL",5,CAGDP2,1,All industry total,Thousands of dollars,206446,224198,257331,280835,287135,319366,296690,293229,278934,294138,298890,300089,306531,281655,293782,302369,305793,306727
" ""01067"" ","Henry, AL",5,CAGDP2,1,All industry total,Thousands of dollars,260301,288655,277065,297992,320147,335546,323785,319920,297980,296688,321874,316972,339726,329717,342670,345632,365637,383534
" ""01069"" ","Houston, AL",5,CAGDP2,1,All industry total,Thousands of dollars,2993685,3196606,3312470,3506475,3644866,3863449,3974855,3908080,3916096,3967265,4039261,4209805,4378038,4442165,4521599,4605737,4689653,4923509
" ""01071"" ","Jackson, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1228788,1282839,1287629,1461215,1521803,1609080,1624300,1577219,1445483,1505826,1484551,1556659,1580260,1596898,1518612,1428085,1431956,1483373
" ""01073"" ","Jefferson, AL",5,CAGDP2,1,All industry total,Thousands of dollars,28675258,30108727,30940729,33456172,35018485,35552368,36493156,37581344,35589650,36380795,38111145,39515681,39819308,40503868,41661199,42082104,44232924,46959136
" ""01075"" ","Lamar, AL",5,CAGDP2,1,All industry total,Thousands of dollars,279440,270661,262967,289449,312539,319845,321103,315880,280272,285701,305398,319162,326183,316704,318003,321816,327170,343597
" ""01077"" ","Lauderdale, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1699015,1733578,1790591,1940185,2039143,2176648,2224540,2231913,2326720,2326985,2407479,2490796,2617287,2581549,2616163,2629968,2661579,2810564
" ""01079"" ","Lawrence, AL",5,CAGDP2,1,All industry total,Thousands of dollars,544234,546694,652921,822249,585893,591279,733973,749312,853613,830693,805084,797752,827926,727569,597778,563533,575611,641615
" ""01081"" ","Lee, AL",5,CAGDP2,1,All industry total,Thousands of dollars,2330783,2510232,2674871,3036061,3237252,3466352,3708159,3767077,3833149,3930687,4297985,4578973,5041632,5266457,5906556,6243789,6551983,6818940
" ""01083"" ","Limestone, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1924233,2052774,2206890,2336685,2418096,2627280,2618225,2603260,2553587,2664871,2804535,2970593,3070471,3238499,3399974,3475744,3618373,3717509
" ""01085"" ","Lowndes, AL",5,CAGDP2,1,All industry total,Thousands of dollars,280384,244261,297238,342944,334822,381686,410574,374409,383573,442253,495291,444095,455726,443377,422411,409787,430383,440613
" ""01087"" ","Macon, AL",5,CAGDP2,1,All industry total,Thousands of dollars,328125,325874,338086,376694,390866,423294,440777,461648,469215,461919,485505,485252,512775,476144,474664,483498,480957,502444
" ""01089"" ","Madison, AL",5,CAGDP2,1,All industry total,Thousands of dollars,11163034,11771362,12486215,13742412,14726453,15537634,16444394,17264672,17883395,18837132,19319367,19512201,19862532,20196619,20964418,21647473,22471571,23840513
" ""01091"" ","Marengo, AL",5,CAGDP2,1,All industry total,Thousands of dollars,488193,500031,501417,553125,596623,648435,641555,613761,644530,655560,649580,670787,696016,721305,725749,736658,723005,746802
" ""01093"" ","Marion, AL",5,CAGDP2,1,All industry total,Thousands of dollars,599753,624584,627579,728018,790672,830614,808742,763888,761962,766989,756090,797023,824359,802287,833931,822918,853211,908475
" ""01095"" ","Marshall, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1990311,2044217,2111998,2324913,2395833,2468652,2579161,2575909,2496736,2555104,2604872,2763122,2948897,2909162,3008568,3070268,3200694,3403815
" ""01097"" ","Mobile, AL",5,CAGDP2,1,All industry total,Thousands of dollars,11292699,11600989,12051286,12816976,13857850,15104822,15573287,16335860,16282137,16820349,17703791,17901892,18087663,18343297,18400414,18866109,19080200,19930388
" ""01099"" ","Monroe, AL",5,CAGDP2,1,All industry total,Thousands of dollars,635944,622007,641539,736957,793566,863451,812530,804844,762597,757174,728031,665614,642036,629172,654643,661890,676694,709333
" ""01101"" ","Montgomery, AL",5,CAGDP2,1,All industry total,Thousands of dollars,8708126,9127985,9490366,10072427,10762276,11256427,11385491,11633717,11387674,11752718,12004808,12235434,12453071,12590293,13158299,13534472,13724107,14237190
" ""01103"" ","Morgan, AL",5,CAGDP2,1,All industry total,Thousands of dollars,3186806,3223257,3431313,3867737,3932184,4270035,4397476,4377873,4268746,4344853,4369405,4515001,4594029,4816829,4979055,5192124,5316709,5631419
" ""01105"" ","Perry, AL",5,CAGDP2,1,All industry total,Thousands of dollars,142750,144303,156455,165295,181713,199065,201731,220238,205859,231131,220421,229993,239589,214882,209050,204572,202877,197656
" ""01107"" ","Pickens, AL",5,CAGDP2,1,All industry total,Thousands of dollars,278340,279425,287424,323755,343604,326038,345952,334600,350098,355214,323846,343674,424152,426834,414219,404327,406174,420382
" ""01109"" ","Pike, AL",5,CAGDP2,1,All industry total,Thousands of dollars,670386,719278,769840,873009,930230,1007857,1085589,1144170,1109838,1203788,1157262,1176489,1184985,1281053,1345168,1367935,1386347,1417893
" ""01111"" ","Randolph, AL",5,CAGDP2,1,All industry total,Thousands of dollars,312305,341718,347012,401185,405297,416660,427927,409084,392981,407925,375502,391438,441635,445041,453409,432953,444349,463437
" ""01113"" ","Russell, AL",5,CAGDP2,1,All industry total,Thousands of dollars,899382,878374,855375,940577,974227,1070269,1084317,1102430,1177266,1236635,1237380,1265157,1324886,1431980,1540554,1595191,1603191,1678883
" ""01115"" ","St. Clair, AL",5,CAGDP2,1,All industry total,Thousands of dollars,951389,1010400,1044782,1139985,1209217,1286384,1372174,1388125,1329508,1399630,1479855,1624555,1722143,1751936,1792084,1851008,1904594,1994734
" ""01117"" ","Shelby, AL",5,CAGDP2,1,All industry total,Thousands of dollars,4136355,4458337,4849630,5334678,6294218,6841552,7676177,7654818,7376700,7549170,7850353,8268481,8660098,9208925,10023965,10159174,10850218,11594728
" ""01119"" ","Sumter, AL",5,CAGDP2,1,All industry total,Thousands of dollars,231325,236078,243660,259916,278172,286494,302209,276986,294503,315457,333225,351774,363752,362187,362037,362683,349196,345945
" ""01121"" ","Talladega, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1710405,1845008,2192488,2600089,2789405,2747759,2616437,2521557,2198594,2445330,2592257,2767076,2905702,2935864,3001762,3001290,3012617,3170485
